Instrument ID,Item,Image,Description,DateIn,CameFromID,ReservedFor,ReservedDate,DateOut,GoneToID,SpecialRequirements,Notes,OnLoanUntil
L1,Ukulele,ukulele_suprano.jpg,Suprano Ukulele,16/11/2023,10,,,20/11/2023,9,A good starter ukulele. It's very small. With case.,,01/02/2024
L2,Ukulele,ukulele2.jpg,Beginer's Ukulele,16/11/2023,10,,,20/11/2023,9,A good beginner's ukulele. With case.,,01/02/2024
L3,Ukulele,Yellow_Uke_Ashton.jpg,A basic ukulele,23/11/2023,8,,,25/11/2023,9,A beginner's ukulele. With case.,,01/02/2024
